heldKey,reason,postNum,detail,alsoDuplicateKey
1012|claims|9|222,BOUNDARY_CROSSING,1012,touches 2 sentences,false
1015|claims|137|181,BOUNDARY_CROSSING,1015,touches 2 sentences,false
102|themeAnchors|41|61,BOUNDARY_CROSSING,102,touches 2 sentences,false
107|themeAnchors|0|134,BOUNDARY_CROSSING,107,touches 2 sentences,false
1090|claims|137|164,BOUNDARY_CROSSING,1090,touches 2 sentences,false
1098|claims|104|124,BOUNDARY_CROSSING,1098,touches 2 sentences,false
1100|themeAnchors|0|51,BOUNDARY_CROSSING,1100,touches 2 sentences,false
1192|claims|0|11,BOUNDARY_CROSSING,1192,touches 2 sentences,false
120|claims|157|243,BOUNDARY_CROSSING,120,touches 5 sentences,false
1237|claims|89|411,BOUNDARY_CROSSING,1237,touches 2 sentences,false
1253|claims|0|262,BOUNDARY_CROSSING,1253,touches 2 sentences,false
1280|claims|14|152,BOUNDARY_CROSSING,1280,touches 2 sentences,false
1284|claims|30|274,BOUNDARY_CROSSING,1284,touches 2 sentences,false
1285|claims|0|275,BOUNDARY_CROSSING,1285,touches 3 sentences,false
1286|claims|306|642,BOUNDARY_CROSSING,1286,touches 3 sentences,false
1287|claims|525|710,BOUNDARY_CROSSING,1287,touches 2 sentences,false
1298|emphasis|10|19,BOUNDARY_CROSSING,1298,touches 0 sentences,false
13|claims|59|99,BOUNDARY_CROSSING,13,touches 2 sentences,false
1318|claims|1643|1781,BOUNDARY_CROSSING,1318,touches 2 sentences,false
1318|claims|950|1037,BOUNDARY_CROSSING,1318,touches 2 sentences,false
1318|claims|1111|1149,BOUNDARY_CROSSING,1318,touches 2 sentences,false
1318|questions|1643|1781,BOUNDARY_CROSSING,1318,touches 2 sentences,false
1361|claims|222|593,BOUNDARY_CROSSING,1361,touches 3 sentences,false
1361|claims|1463|1809,BOUNDARY_CROSSING,1361,touches 3 sentences,false
1439|claims|171|218,BOUNDARY_CROSSING,1439,touches 2 sentences,false
1458|claims|10|422,BOUNDARY_CROSSING,1458,touches 2 sentences,false
1481|claims|11|282,BOUNDARY_CROSSING,1481,touches 2 sentences,false
15|claims|0|257,BOUNDARY_CROSSING,15,touches 3 sentences,false
15|claims|307|808,BOUNDARY_CROSSING,15,touches 4 sentences,false
1532|claims|0|110,BOUNDARY_CROSSING,1532,touches 2 sentences,false
154|directives|995|1053,BOUNDARY_CROSSING,154,touches 2 sentences,false
154|directives|769|820,BOUNDARY_CROSSING,154,touches 2 sentences,false
154|directives|839|884,BOUNDARY_CROSSING,154,touches 2 sentences,false
