stableOccurrenceId,postNum,storedPhrase,sentenceText,directiveSegments,religiousSegment,themes,proposedDestination,authorshipState,sourceType,alsoQuotedInPayload,action,proposedRuling,status,blockedBy,reason
"1#0","1","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","Expect massive riots organized in defiance and others fleeing the US to occur.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"1#1","1","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","Proof check: Locate a NG member and ask if activated for duty 10/30 across most major cities.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"10#0","10","Remember, the FBI, and MI, have an open investigation into the CF.","Remember, the FBI, and MI, have an open investigation into the CF.","Remember, the FBI, and MI, have an open investigation into the CF.","","","","AMBIGUOUS_MULTIPLE_MATCHES","UNKNOWN","false","HOLD","NEEDS_CONTEXT","BLOCKED_PENDING_EDITORIAL","post-#10 early-4chan provenance","whole-post prose in early board format with no signature, pointer, quote mark or register anchor — ownership not structurally established"
"10#1","10","Dig!!!!!","Dig!!!!!","Dig!!!!!","","","","AMBIGUOUS_MULTIPLE_MATCHES","UNKNOWN","false","HOLD","NEEDS_CONTEXT","BLOCKED_PENDING_EDITORIAL","post-#10 early-4chan provenance","whole-post prose in early board format with no signature, pointer, quote mark or register anchor — ownership not structurally established"
"100#0","100","Define assets?","Define assets?","Define assets?","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"1001#0","1001","Collect.","Collect.","Collect.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"1004#0","1004","ACTIVATE D-PRIV","ACTIVATE D-PRIV","ACTIVATE D-PRIV","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"1006#0","1006","COUNT YOUR BEATS.","COUNT YOUR BEATS.","COUNT YOUR BEATS.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"1008#0","1008","Trace background.","Trace background.","Trace background.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
"1008#1","1008","Open source.","Open source.","Open source.","","","","Q_AUTHORED_CURRENT_POST","Q_BODY","false","KEEP","KEEP_Q_DIRECTIVE","READY","","canonical post body, no embedded-source evidence"
